BASIC 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
ACID 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
POLAR 0.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00
NONPOLAR 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 1.00
CHAM830103 0.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 1.0 2.0 1.0 1.0 1.0 1.0 0.0 1.0 2.0 1.0 1.0 2.0
CHAM830104 0.0 1.0 1.0 1.0 0.0 1.0 1.0 0.0 1.0 1.0 2.0 1.0 1.0 1.0 0.0 0.0 0.0 1.0 1.0 0.0
CHAM830105 0.0 1.0 0.0 0.0 0.0 1.0 1.0 0.0 1.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 1.5 1.0 0.0
FAUJ880111 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
MONM990201 0.4 1.5 1.6 1.5 0.7 1.4 1.3 1.1 1.4 0.5 0.3 1.4 0.5 0.3 1.6 0.9 0.7 0.9 0.9 0.4
MONM990101 0.5 1.7 1.7 1.6 0.6 1.6 1.6 1.3 1.6 0.6 0.4 1.6 0.5 0.4 1.7 0.7 0.4 0.7 0.6 0.5
BEGF750101 1.00 0.52 0.35 0.44 0.06 0.44 0.73 0.35 0.60 0.73 1.00 0.60 1.00 0.60 0.06 0.35 0.44 0.73 0.44 0.82
BROC820102 3.9 3.2 -2.8 -2.8 -14.3 1.8 -7.5 -2.3 2.0 11.0 15.0 -2.5 4.1 14.7 5.6 -3.5 1.1 17.8 3.8 2.1
FAUJ880112 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
GEIM800103 1.55 0.20 1.20 1.55 1.44 1.13 1.67 0.59 1.21 1.27 1.25 1.20 1.37 0.40 0.21 1.01 0.55 1.86 1.08 0.64
GEIM800105 0.84 1.04 0.66 0.59 1.27 1.02 0.57 0.94 0.81 1.29 1.10 0.86 0.88 1.15 0.80 1.05 1.20 1.15 1.39 1.56
LEWP710101 0.22 0.28 0.42 0.73 0.20 0.26 0.08 0.58 0.14 0.22 0.19 0.27 0.38 0.08 0.46 0.55 0.49 0.43 0.46 0.08 
NAKH900102 3.73 3.34 2.33 2.23 2.30 2.36 3.00 3.36 1.55 2.52 3.40 3.36 1.37 1.94 3.18 2.83 2.63 1.15 1.76 2.53
NAKH900108 -0.70 -0.91 1.28 -0.93 -0.41 -0.71 -1.13 -0.12 0.04 1.77 1.02 -0.40 0.86 1.29 -0.42 0.14 -0.13 0.26 1.29 -0.19 
OOBM850104 -2.49 2.55 2.27 8.86 -3.13 1.79 4.04 -0.56 4.22 -10.87 -7.16 -9.97 -4.96 -6.64 5.19 -1.60 -4.75 -17.84 9.25 -3.97 
PALJ810115 0.91 0.77 1.32 0.90 0.50 1.06 0.53 1.61 1.08 0.36 0.77 1.27 0.76 0.37 1.62 1.34 0.87 1.10 1.24 0.52
PONP800106 10.67 11.05 10.85 10.21 14.15 11.71 11.71 10.95 12.07 12.95 13.07 9.93 15.00 13.27 10.62 11.18 10.53 11.41 11.52 13.86
QIAN880116 -0.19 0.03 0.02 -0.06 -0.29 0.02 -0.10 0.19 -0.16 -0.08 -0.42 -0.09 -0.38 -0.32 0.05 0.25 0.22 -0.19 0.05 -0.15 
RICJ880107 1.1 1.5 0.0 0.3 1.1 1.3 0.5 0.4 1.5 1.1 2.6 0.8 1.7 1.9 0.1 0.4 0.5 3.1 0.6 1.5 
ROBB760111 -3.7 1.0 -0.6 -0.6 4.0 3.4 -4.3 5.9 -0.8 -0.5 -2.8 1.3 -1.6 1.6 -6.0 1.5 1.2 6.5 1.3 -4.6
ROSM880103 0.4 0.3 0.9 0.8 0.5 0.7 1.3 0.0 1.0 0.4 0.6 0.4 0.3 0.7 0.9 0.4 0.4 0.6 1.2 0.4 
VENT840101 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 1.00 1.00 1.00 
AURR980101 0.94 1.15 0.79 1.19 0.60 0.94 1.41 1.18 1.15 1.07 0.95 1.03 0.88 1.06 1.18 0.69 0.87 0.91 1.04 0.90 
AURR980105 0.67 0.76 1.28 1.58 0.37 1.05 0.94 0.98 0.83 0.78 0.79 0.84 0.98 0.96 1.12 1.25 1.41 0.94 0.82 0.67 
AURR980118 0.93 0.96 0.82 1.15 0.67 1.02 1.07 1.08 1.40 1.14 1.16 1.27 1.11 1.05 1.01 0.71 0.84 1.06 1.15 0.74 
ZHOH040103 13.4 8.5 7.6 8.2 22.6 8.5 7.3 7.0 11.3 20.3 20.8 6.1 15.7 23.9 9.9 8.2 10.3 24.5 19.5 19.5
